malware_name,strings,conditions,hex_patterns,rule_length,file_size,contains_exec,family,class,label
Check_Dlls,"['sbiedll.dll', 'dbghelp.dll', 'api_log.dll', 'dir_watch.dll', 'pstorec.dll', 'vmcheck.dll', 'wpespy.dll']",2 of them,[],1032,[],0,antidebug_antivm,502,0
Check_Qemu_Description,"['HARDWARE\\\\Description\\\\System', 'SystemBiosVersion', 'QEMU']",all of them,[],1032,[],0,antidebug_antivm,502,0
Check_Qemu_DeviceMap,"['HARDWARE\\\\DEVICEMAP\\\\Scsi\\\\Scsi Port 0\\\\Scsi Bus 0\\\\Target Id 0\\\\Logical Unit Id 0', 'Identifier', 'QEMU']",all of them,[],1032,[],0,antidebug_antivm,502,0
Check_VBox_Description,"['HARDWARE\\\\Description\\\\System', 'SystemBiosVersion', 'VBOX']",all of them,[],1032,[],0,antidebug_antivm,502,0
Check_VBox_DeviceMap,"['HARDWARE\\\\DEVICEMAP\\\\Scsi\\\\Scsi Port 0\\\\Scsi Bus 0\\\\Target Id 0\\\\Logical Unit Id 0', 'Identifier', 'VBOX']",all of them,[],1032,[],0,antidebug_antivm,502,0
Check_VBox_Guest_Additions,['SOFTWARE\\\\Oracle\\\\VirtualBox Guest Additions'],any of them,[],1032,[],0,antidebug_antivm,502,0
Check_VBox_VideoDrivers,"['HARDWARE\\\\Description\\\\System', 'VideoBiosVersion', 'VIRTUALBOX']",all of them,[],1032,[],0,antidebug_antivm,502,0
Check_VMWare_DeviceMap,"['HARDWARE\\\\DEVICEMAP\\\\Scsi\\\\Scsi Port 0\\\\Scsi Bus 0\\\\Target Id 0\\\\Logical Unit Id 0', 'Identifier', 'VMware']",all of them,[],1032,[],0,antidebug_antivm,502,0
Check_VmTools,"['SOFTWARE\\\\VMware, Inc.\\\\VMware Tools']",any of them,[],1032,[],0,antidebug_antivm,502,0
Check_Wine,['wine_get_unix_file_name'],any of them,[],1032,[],0,antidebug_antivm,502,0
vmdetect,"[' Binary tricks\n        $vmware = {56 4D 58 68}\n        $virtualpc = {0F 3F 07 0B}\n        $ssexy = {66 0F 70 ?? ?? 66 0F DB ?? ?? ?? ?? ?? 66 0F DB ?? ?? ?? ?? ?? 66 0F EF}\n        $vmcheckdll = {45 C7 00 01}\n        $redpill = {0F 01 0D 00 00 00 00 C3}\n\n        ', ' Random strings\n        $vmware1 = ""VMXh""\n        $vmware2 = ""Ven_VMware_"" nocase\n        $vmware3 = ""Prod_VMware_Virtual_"" nocase\n        $vmware4 = ""hgfs.sys"" nocase\n        $vmware5 = ""mhgfs.sys"" nocase\n        $vmware6 = ""prleth.sys"" nocase\n        $vmware7 = ""prlfs.sys"" nocase\n        $vmware8 = ""prlmouse.sys"" nocase\n        $vmware9 = ""prlvideo.sys"" nocase\n        $vmware10 = ""prl_pv32.sys"" nocase\n        $vmware11 = ""vpc-s3.sys"" nocase\n        $vmware12 = ""vmsrvc.sys"" nocase\n        $vmware13 = ""vmx86.sys"" nocase\n        $vmware14 = ""vmnet.sys"" nocase\n        $vmware15 = ""vmicheartbeat"" nocase\n        $vmware16 = ""vmicvss"" nocase\n        $vmware17 = ""vmicshutdown"" nocase\n        $vmware18 = ""vmicexchange"" nocase\n        $vmware19 = ""vmdebug"" nocase\n        $vmware20 = ""vmmouse"" nocase\n        $vmware21 = ""vmtools"" nocase\n        $vmware22 = ""VMMEMCTL"" nocase\n        $vmware23 = ""vmx86"" nocase\n        $vmware24 = ""vmware"" nocase\n        $virtualpc1 = ""vpcbus"" nocase\n        $virtualpc2 = ""vpc-s3"" nocase\n        $virtualpc3 = ""vpcuhub"" nocase\n        $virtualpc4 = ""msvmmouf"" nocase\n        $xen1 = ""xenevtchn"" nocase\n        $xen2 = ""xennet"" nocase\n        $xen3 = ""xennet6"" nocase\n        $xen4 = ""xensvc"" nocase\n        $xen5 = ""xenvdb"" nocase\n        $xen6 = ""XenVMM"" nocase\n        $virtualbox1 = ""VBoxHook.dll"" nocase\n        $virtualbox2 = ""VBoxService"" nocase\n        $virtualbox3 = ""VBoxTray"" nocase\n        $virtualbox4 = ""VBoxMouse"" nocase\n        $virtualbox5 = ""VBoxGuest"" nocase\n        $virtualbox6 = ""VBoxSF"" nocase\n        $virtualbox7 = ""VBoxGuestAdditions"" nocase\n        $virtualbox8 = ""VBOX HARDDISK""  nocase\n\n        ', 'VMXh', 'Ven_VMware_', 'Prod_VMware_Virtual_', 'hgfs.sys', 'mhgfs.sys', 'prleth.sys', 'prlfs.sys', 'prlmouse.sys', 'prlvideo.sys', 'prl_pv32.sys', 'vpc-s3.sys', 'vmsrvc.sys', 'vmx86.sys', 'vmnet.sys', 'vmicheartbeat', 'vmicvss', 'vmicshutdown', 'vmicexchange', 'vmdebug', 'vmmouse', 'vmtools', 'VMMEMCTL', 'vmx86', 'vmware', 'vpcbus', 'vpc-s3', 'vpcuhub', 'msvmmouf', 'xenevtchn', 'xennet', 'xennet6', 'xensvc', 'xenvdb', 'XenVMM', 'VBoxHook.dll', 'VBoxService', 'VBoxTray', 'VBoxMouse', 'VBoxGuest', 'VBoxSF', 'VBoxGuestAdditions', 'VBOX HARDDISK', '00-05-69', '00:05:69', '000569', '00-50-56', '00:50:56', '005056', '00-0C-29', '00:0C:29', '000C29', '00-1C-14', '00:1C:14', '001C14', '08-00-27', '08:00:27', '080027']",any of them,"['56 4D 58 68', '0F 3F 07 0B', '66 0F 70 ?? ?? 66 0F DB ?? ?? ?? ?? ?? 66 0F DB ?? ?? ?? ?? ?? 66 0F EF', '45 C7 00 01', '0F 01 0D 00 00 00 00 C3']",1032,[],0,antidebug_antivm,502,0
Check_Debugger,[],"pe.imports(""kernel32.dll"",""CheckRemoteDebuggerPresent"") and
		pe.imports(""kernel32.dll"",""IsDebuggerPresent"")",[],1032,[],0,antidebug_antivm,502,0
Check_DriveSize,['\\\\\\\\.\\\\PhysicalDrive0'],"pe.imports(""kernel32.dll"",""CreateFileA"") and
		pe.imports(""kernel32.dll"",""DeviceIoControl"") and
		$dwIoControlCode and
		$physicaldrive",['68 5c 40 07 00 [0-5] FF 15'],1032,[],0,antidebug_antivm,502,0
Check_FilePaths,"['SANDBOX', '\\\\SAMPLE', '\\\\VIRUS']","all of ($path*) and pe.imports(""kernel32.dll"",""GetModuleFileNameA"")",[],1032,[],0,antidebug_antivm,502,0
Check_UserNames,"['MALTEST', 'TEQUILABOOMBOOM', 'SANDBOX', 'VIRUS', 'MALWARE']","all of ($user*)  and pe.imports(""advapi32.dll"",""GetUserNameA"")",[],1032,[],0,antidebug_antivm,502,0
Check_OutputDebugStringA_iat,[],"pe.imports(""kernel32.dll"",""OutputDebugStringA"")",[],1032,[],0,antidebug_antivm,502,0
Check_unhandledExceptionFiler_iat,[],"pe.imports(""kernel32.dll"",""UnhandledExceptionFilter"")",[],1032,[],0,antidebug_antivm,502,0
check_RaiseException_iat,[],"pe.imports(""kernel32.dll"",""RaiseException"")",[],1032,[],0,antidebug_antivm,502,0
Check_FindWindowA_iat,"['OLLYDBG', 'WinDbgFrameClass']","pe.imports(""user32.dll"",""FindWindowA"") and ($ollydbg or $windbg)",[],1032,[],0,antidebug_antivm,502,0
DebuggerCheck__MemoryWorkingSet,[],"pe.imports(""kernel32.dll"", ""K32GetProcessMemoryInfo"") and
		pe.imports(""kernel32.dll"", ""GetCurrentProcess"")",[],1032,[],0,antidebug_antivm,502,0
WMI_VM_Detect,"['SELECT Description FROM Win32_VideoController', 'SELECT * FROM Win32_VideoController', 'virtualbox graphics adapter', 'vmware svga ii', 'vm additions s3 trio32/64', 'parallel', 'remotefx', 'cirrus logic', 'matrox']",any of ($selstr*) and any of ($vm*),[],1032,[],0,antidebug_antivm,502,0
anti_dbg,"['Kernel32.dll', 'CheckRemoteDebuggerPresent', 'IsDebuggerPresent', 'OutputDebugString', 'ContinueDebugEvent', 'DebugActiveProcess']",$d1 and 1 of ($c*),[],1032,[],0,antidebug_antivm,502,0
anti_dbgtools,"['procexp.exe', 'procmon.exe', 'processmonitor.exe', 'wireshark.exe', 'fiddler.exe', 'windbg.exe', 'ollydbg.exe', 'winhex.exe', 'processhacker.exe', 'hiew32.exe', '\\\\\\\\.\\\\NTICE', '\\\\\\\\.\\\\SICE', '\\\\\\\\.\\\\Syser', '\\\\\\\\.\\\\SyserBoot', '\\\\\\\\.\\\\SyserDbgMsg']",any of them,[],1032,[],0,antidebug_antivm,502,0
antisb_joesanbox,"['Software\\\\Microsoft\\\\Windows\\\\CurrentVersion', 'RegQueryValue', '55274-640-2673064-23950']",all of them,[],1032,[],0,antidebug_antivm,502,0
antisb_anubis,"['Software\\\\Microsoft\\\\Windows\\\\CurrentVersion', 'RegQueryValue', '76487-337-8429955-22614', '76487-640-1457236-23837']",$p1 and $c1 and 1 of ($s*),[],1032,[],0,antidebug_antivm,502,0
antisb_threatExpert,['dbghelp.dll'],all of them,[],1032,[],0,antidebug_antivm,502,0
antisb_sandboxie,['SbieDLL.dll'],all of them,[],1032,[],0,antidebug_antivm,502,0
antisb_cwsandbox,"['Software\\\\Microsoft\\\\Windows\\\\CurrentVersion', '76487-644-3177037-23510']",all of them,[],1032,[],0,antidebug_antivm,502,0
antivm_virtualbox,['VBoxService.exe'],any of them,[],1032,[],0,antidebug_antivm,502,0
antivm_vmware,"['vmware.exe', 'vmware-authd.exe', 'vmware-hostd.exe', 'vmware-tray.exe', 'vmware-vmx.exe', 'vmnetdhcp.exe', 'vpxclient.exe']",any of them,[' b868584d56bb00000000b90a000000ba58560000ed '],1032,[],0,antidebug_antivm,502,0
antivm_bios,"['HARDWARE\\\\DESCRIPTION\\\\System', 'HARDWARE\\\\DESCRIPTION\\\\System\\\\BIOS', 'RegQueryValue', 'SystemBiosVersion', 'VideoBiosVersion', 'SystemManufacturer']",1 of ($p*) and 1 of ($c*) and 1 of ($r*),[],1032,[],0,antidebug_antivm,502,0
disable_antivirus,"['Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Policies\\\\Explorer\\\\DisallowRun', 'Software\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Uninstall\\\\', 'SOFTWARE\\\\Policies\\\\Microsoft\\\\Windows Defender', 'RegSetValue', 'AntiVirusDisableNotify', 'DontReportInfectionInformation', 'DisableAntiSpyware', 'RunInvalidSignatures', 'AntiVirusOverride', 'CheckExeSignatures', 'blackd.exe', 'blackice.exe', 'lockdown.exe', 'lockdown2000.exe', 'taskkill.exe', 'tskill.exe', 'smc.exe', 'sniffem.exe', 'zapro.exe', 'zlclient.exe', 'zonealarm.exe']",($c1 and $p1 and 1 of ($f*)) or ($c1 and $p2) or 1 of ($r*) or $p3,[],1032,[],0,antidebug_antivm,502,0
disable_uax,"['SOFTWARE\\\\Microsoft\\\\Security Center', 'UACDisableNotify']",all of them,[],1032,[],0,antidebug_antivm,502,0
disable_firewall,"['SYSTEM\\\\CurrentControlSet\\\\Services\\\\SharedAccess\\\\Parameters\\\\FirewallPolicy', 'RegSetValue', 'FirewallPolicy', 'EnableFirewall', 'FirewallDisableNotify', 'netsh firewall add allowedprogram']",(1 of ($p*) and $c1 and 1 of ($r*)) or $s1,[],1032,[],0,antidebug_antivm,502,0
disable_registry,"['SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Policies\\\\System', 'RegSetValue', 'DisableRegistryTools', 'DisableRegedit']",1 of ($p*) and $c1 and 1 of ($r*),[],1032,[],0,antidebug_antivm,502,0
disable_dep,"['EnableExecuteProtectionSupport', 'NtSetInformationProcess', 'VirtualProctectEx', 'SetProcessDEPPolicy', 'ZwProtectVirtualMemory']",any of them,[],1032,[],0,antidebug_antivm,502,0
disable_taskmanager,"['SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Policies\\\\System', 'DisableTaskMgr']",1 of ($p*) and 1 of ($r*),[],1032,[],0,antidebug_antivm,502,0
check_patchlevel,['SOFTWARE\\\\Microsoft\\\\Windows NT\\\\CurrentVersion\\\\Hotfix'],any of them,[],1032,[],0,antidebug_antivm,502,0
win_hook,"['user32.dll', 'UnhookWindowsHookEx', 'SetWindowsHookExA', 'CallNextHookEx']",$f1 and 1 of ($c*),[],1032,[],0,antidebug_antivm,502,0
vmdetect_misc,"[' Drivers\n\t\t$vmdrv1 = ""hgfs.sys"" ascii wide\n\t\t$vmdrv2 = ""vmhgfs.sys"" ascii wide\n\t\t$vmdrv3 = ""prleth.sys"" ascii wide\n\t\t$vmdrv4 = ""prlfs.sys"" ascii wide\n\t\t$vmdrv5 = ""prlmouse.sys"" ascii wide\n\t\t$vmdrv6 = ""prlvideo.sys"" ascii wide\n\t\t$vmdrv7 = ""prl_pv32.sys"" ascii wide\n\t\t$vmdrv8 = ""vpc-s3.sys"" ascii wide\n\t\t$vmdrv9 = ""vmsrvc.sys"" ascii wide\n\t\t$vmdrv10 = ""vmx86.sys"" ascii wide\n\t\t$vmdrv11 = ""vmnet.sys"" ascii wide\n\n\t\t', ' SYSTEM\\ControlSet001\\Services\n\t\t$vmsrvc1 = ""vmicheartbeat"" ascii wide\n\t\t$vmsrvc2 = ""vmicvss"" ascii wide\n\t\t$vmsrvc3 = ""vmicshutdown"" ascii wide\n\t\t$vmsrvc4 = ""vmicexchange"" ascii wide\n\t\t$vmsrvc5 = ""vmci"" ascii wide\n\t\t$vmsrvc6 = ""vmdebug"" ascii wide\n\t\t$vmsrvc7 = ""vmmouse"" ascii wide\n\t\t$vmsrvc8 = ""VMTools"" ascii wide\n\t\t$vmsrvc9 = ""VMMEMCTL"" ascii wide\n\t\t$vmsrvc10 = ""vmware"" ascii wide\n\t\t$vmsrvc11 = ""vmx86"" ascii wide\n\t\t$vmsrvc12 = ""vpcbus"" ascii wide\n\t\t$vmsrvc13 = ""vpc-s3"" ascii wide\n\t\t$vmsrvc14 = ""vpcuhub"" ascii wide\n\t\t$vmsrvc15 = ""msvmmouf"" ascii wide\n\t\t$vmsrvc16 = ""VBoxMouse"" ascii wide\n\t\t$vmsrvc17 = ""VBoxGuest"" ascii wide\n\t\t$vmsrvc18 = ""VBoxSF"" ascii wide\n\t\t$vmsrvc19 = ""xenevtchn"" ascii wide\n\t\t$vmsrvc20 = ""xennet"" ascii wide\n\t\t$vmsrvc21 = ""xennet6"" ascii wide\n\t\t$vmsrvc22 = ""xensvc"" ascii wide\n\t\t$vmsrvc23 = ""xenvdb"" ascii wide\n\n\t\t', 'VBoxService', 'VBoxTray', 'SOFTWARE\\\\Oracle\\\\VirtualBox Guest Additions', 'SOFTWARE\\\\\\\\Oracle\\\\\\\\VirtualBox Guest Additions', 'wine_get_unix_file_name', 'vmmouse.sys', 'VMware Virtual IDE Hard Drive', 'SYSTEM\\\\ControlSet001\\\\Services\\\\Disk\\\\Enum', 'SYSTEM\\\\\\\\ControlSet001\\\\\\\\Services\\\\\\\\Disk\\\\\\\\Enum', 'hgfs.sys', 'vmhgfs.sys', 'prleth.sys', 'prlfs.sys', 'prlmouse.sys', 'prlvideo.sys', 'prl_pv32.sys', 'vpc-s3.sys', 'vmsrvc.sys', 'vmx86.sys', 'vmnet.sys', 'vmicheartbeat', 'vmicvss', 'vmicshutdown', 'vmicexchange', 'vmci', 'vmdebug', 'vmmouse', 'VMTools', 'VMMEMCTL', 'vmware', 'vmx86', 'vpcbus', 'vpc-s3', 'vpcuhub', 'msvmmouf', 'VBoxMouse', 'VBoxGuest', 'VBoxSF', 'xenevtchn', 'xennet', 'xennet6', 'xensvc', 'xenvdb', 'vmware2', 'vmount2', 'vmusrvc', 'vmsrvc', 'vboxservice', 'vboxtray', 'xenservice', '00-05-69', '00:05:69', '00-50-56', '00:50:56', '00-0C-29', '00:0C:29', '00-1C-14', '00:1C:14', '08-00-27', '08:00:27']",2 of them,[],1032,[],0,antidebug_antivm,502,0
inject_thread,"['OpenProcess', 'VirtualAllocEx', 'NtWriteVirtualMemory', 'WriteProcessMemory', 'CreateRemoteThread', 'CreateThread', 'OpenProcess']",$c1 and $c2 and ( $c3 or $c4 ) and ( $c5 or $c6 or $c7 ),[],931,[],0,capabilities,506,0
create_process,"['Shell32.dll', 'Kernel32.dll', 'ShellExecute', 'WinExec', 'CreateProcess', 'CreateThread']",($f1 and $c1 ) or $f2 and ($c2 or $c3 or $c4),[],931,[],0,capabilities,506,0
persistence,"['SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Run', 'SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\RunOnce', 'SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\RunServices', 'SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\RunServicesOnce', 'SOFTWARE\\\\Microsoft\\\\Windows NT\\\\CurrentVersion\\\\Winlogon', 'SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Policies\\\\Explorer\\\\Run', 'SOFTWARE\\\\Microsoft\\\\Active Setup\\\\Installed Components\\\\', 'SOFTWARE\\\\Microsoft\\\\WindowsNT\\\\CurrentVersion\\\\Windows', 'SOFTWARE\\\\Microsoft\\\\Windows\\\\CurrentVersion\\\\Explorer\\\\SharedTaskScheduler', 'comfile\\\\shell\\\\open\\\\command', 'piffile\\\\shell\\\\open\\\\command', 'exefile\\\\shell\\\\open\\\\command', 'txtfile\\\\shell\\\\open\\\\command', '\\\\Microsoft\\\\Windows NT\\\\CurrentVersion\\\\Image File Execution Options', 'win.ini', 'system.ini', 'Start Menu\\\\Programs\\\\Startup']",any of them,[],931,[],0,capabilities,506,0
hijack_network,"['SOFTWARE\\\\Classes\\\\PROTOCOLS\\\\Handler', 'SOFTWARE\\\\Classes\\\\PROTOCOLS\\\\Filter', 'Microsoft\\\\Windows\\\\CurrentVersion\\\\Internet Settings\\\\ProxyServer', 'software\\\\microsoft\\\\windows\\\\currentversion\\\\internet settings\\\\proxyenable', 'drivers\\\\etc\\\\hosts']",any of them,[],931,[],0,capabilities,506,0
create_service,"['Advapi32.dll', 'CreateService', 'ControlService', 'StartService', 'QueryServiceStatus']",all of them,[],931,[],0,capabilities,506,0
create_com_service,"['DllCanUnloadNow', 'DllGetClassObject', 'DllInstall', 'DllRegisterServer', 'DllUnregisterServer']",all of them,[],931,[],0,capabilities,506,0
network_udp_sock,"['Ws2_32.dll', 'System.Net', 'wsock32.dll', 'WSAStartup', 'sendto', 'recvfrom', 'WSASendTo', 'WSARecvFrom', 'UdpClient']",(($f1 or $f3) and 2 of ($c*)) or ($f2 and $c5),[],931,[],0,capabilities,506,0
network_tcp_listen,"['Ws2_32.dll', 'Mswsock.dll', 'System.Net', 'wsock32.dll', 'bind', 'accept', 'GetAcceptExSockaddrs', 'AcceptEx', 'WSAStartup', 'WSAAccept', 'WSASocket', 'TcpListener', 'AcceptTcpClient', 'listen']",1 of ($f*) and 2 of ($c*),[],931,[],0,capabilities,506,0
network_dyndns,"['.no-ip.org', '.publicvm.com', '.linkpc.net', '.dynu.com', '.dynu.net', '.afraid.org', '.chickenkiller.com', '.crabdance.com', '.ignorelist.com', '.jumpingcrab.com', '.moo.com', '.strangled.com', '.twillightparadox.com', '.us.to', '.strangled.net', '.info.tm', '.homenet.org', '.biz.tm', '.continent.kz', '.ax.lt', '.system-ns.com', '.adultdns.com', '.craftx.biz', '.ddns01.com', '.dns53.biz', '.dnsapi.info', '.dnsd.info', '.dnsdynamic.com', '.dnsdynamic.net', '.dnsget.org', '.fe100.net', '.flashserv.net', '.ftp21.net']",any of them,[],931,[],0,capabilities,506,0
network_toredo,"['FirewallAPI.dll', '\\\\CurrentControlSet\\\\Services\\\\Tcpip6\\\\Parameters\\\\Interfaces\\\\']",all of them,[],931,[],0,capabilities,506,0
network_smtp_dotNet,"['System.Net.Mail', 'SmtpClient']",all of them,[],931,[],0,capabilities,506,0
network_smtp_raw,"['MAIL FROM:', 'RCPT TO:']",all of them,[],931,[],0,capabilities,506,0
network_smtp_vb,"['cdo', 'CDO.Message', 'cdoSMTPServer', 'cdoSendUsingMethod', 'cdoex.dll', '/cdo/configuration/smtpserver']",any of them,[],931,[],0,capabilities,506,0
network_p2p_win,"['PeerCollabExportContact', 'PeerCollabGetApplicationRegistrationInfo', 'PeerCollabGetEndpointName', 'PeerCollabGetEventData', 'PeerCollabGetInvitationResponse', 'PeerCollabGetPresenceInfo', 'PeerCollabGetSigninOptions', 'PeerCollabInviteContact', 'PeerCollabInviteEndpoint', 'PeerCollabParseContact', 'PeerCollabQueryContactData', 'PeerCollabRefreshEndpointData', 'PeerCollabRegisterApplication', 'PeerCollabRegisterEvent', 'PeerCollabSetEndpointName', 'PeerCollabSetObject', 'PeerCollabSetPresenceInfo', 'PeerCollabSignout', 'PeerCollabUnregisterApplication', 'PeerCollabUpdateContact']",5 of them,[],931,[],0,capabilities,506,0
network_tor,"['tor\\\\hidden_service\\\\private_key', 'tor\\\\hidden_service\\\\hostname', 'tor\\\\lock', 'tor\\\\state']",any of them,[],931,[],0,capabilities,506,0
network_irc,"['NICK', 'PING', 'JOIN', 'USER', 'PRIVMSG']",all of them,[],931,[],0,capabilities,506,0
network_http,"['wininet.dll', 'InternetConnect', 'InternetOpen', 'InternetOpenUrl', 'InternetReadFile', 'InternetWriteFile', 'HttpOpenRequest', 'HttpSendRequest', 'IdHTTPHeaderInfo']",$f1 and $c1 and ($c2 or $c3) and ($c4 or $c5 or $c6 or $c7 or $c8),[],931,[],0,capabilities,506,0
network_dropper,"['urlmon.dll', 'URLDownloadToFile', 'URLDownloadToCacheFile', 'URLOpenStream', 'URLOpenPullStream']",$f1 and 1 of ($c*),[],931,[],0,capabilities,506,0
network_ftp,"['Wininet.dll', 'FtpGetCurrentDirectory', 'FtpGetFile', 'FtpPutFile', 'FtpSetCurrentDirectory', 'FtpOpenFile', 'FtpGetFileSize', 'FtpDeleteFile', 'FtpCreateDirectory', 'FtpRemoveDirectory', 'FtpRenameFile', 'FtpDownload', 'FtpUpload', 'FtpGetDirectory']",$f1 and (4 of ($c*)),[],931,[],0,capabilities,506,0
network_tcp_socket,"['Ws2_32.dll', 'wsock32.dll', 'WSASocket', 'socket', 'send', 'WSASend', 'WSAConnect', 'connect', 'WSAStartup', 'closesocket', 'WSACleanup']",1 of ($f*) and 2 of ($c*),[],931,[],0,capabilities,506,0
network_dns,"['System.Net', 'Ws2_32.dll', 'Dnsapi.dll', 'wsock32.dll', 'GetHostEntry', 'getaddrinfo', 'gethostbyname', 'WSAAsyncGetHostByName', 'DnsQuery']",1 of ($f*) and  1 of ($c*),[],931,[],0,capabilities,506,0
network_ssl,"['ssleay32.dll', 'libeay32.dll', 'libssl32.dll', 'IdSSLOpenSSL']",any of them,[],931,[],0,capabilities,506,0
network_dga,"['Advapi32.dll', 'wininet.dll', 'Crypt32.dll', 'SystemTimeToFileTime', 'GetSystemTime', 'GetSystemTimeAsFileTime', 'CryptCreateHash', 'CryptAcquireContext', 'CryptHashData', 'InternetOpen', 'InternetOpenUrl', 'gethostbyname', 'getaddrinfo']",all of ($dll*) and 1 of ($time*) and 1 of ($hash*) and 1 of ($net*),[],931,[],0,capabilities,506,0
bitcoin,"['OpenCL.dll', 'nvcuda.dll', 'opengl32.dll', 'cpuminer 2.2.2X-Mining-Extensions', 'cpuminer 2.2.3X-Mining-Extensions', 'Ufasoft bitcoin-miner/0.20', 'bitcoin', 'stratum']",1 of ($f*) and 1 of ($s*),[],931,[],0,capabilities,506,0
certificate,"['Crypt32.dll', 'software\\\\microsoft\\\\systemcertificates\\\\spc\\\\certificates', 'CertOpenSystemStore']",all of them,[],931,[],0,capabilities,506,0
escalate_priv,"['Advapi32.dll', 'SeDebugPrivilege', 'AdjustTokenPrivileges']",1 of ($d*) and 1 of ($c*),[],931,[],0,capabilities,506,0
screenshot,"['Gdi32.dll', 'User32.dll', 'BitBlt', 'GetDC']",1 of ($d*) and 1 of ($c*),[],931,[],0,capabilities,506,0
lookupip,"['checkip.dyndns.org', 'whatismyip.org', 'whatsmyipaddress.com', 'getmyip.org', 'getmyip.co.uk']",any of them,[],931,[],0,capabilities,506,0
dyndns,['SOFTWARE\\\\Vitalwerks\\\\DUC'],any of them,[],931,[],0,capabilities,506,0
lookupgeo,['j.maxmind.com'],any of them,[],931,[],0,capabilities,506,0
keylogger,"['User32.dll', 'GetAsyncKeyState', 'GetKeyState', 'MapVirtualKey', 'GetKeyboardType']",$f1 and 1 of ($c*),[],931,[],0,capabilities,506,0
cred_local,"['LsaEnumerateLogonSessions', 'SamIConnect', 'SamIGetPrivateData', 'SamQueryInformationUse', 'CredEnumerateA', 'CredEnumerateW', 'software\\\\microsoft\\\\internet account manager', 'software\\\\microsoft\\\\identitycrl\\\\creds', 'Security\\\\Policy\\\\Secrets']",any of them,[],931,[],0,capabilities,506,0
sniff_audio,"['winmm.dll', 'waveInStart', 'waveInReset', 'waveInAddBuffer', 'waveInOpen', 'waveInClose']",$f1 and 2 of ($c*),[],931,[],0,capabilities,506,0
cred_ff,"['signons.sqlite', 'signons3.txt', 'secmod.db', 'cert8.db', 'key3.db']",any of them,[],931,[],0,capabilities,506,0
